jog trusk_zamkniêty_1t_SYN_30.00,,jog trusk_zamkniêty_1t_SYN_40.00,,jog trusk_zamkniêty_1t_SYN_50.00,,jog trusk_zamkniêty_1t_SYN_60.00,,jog trusk_zamkniêty_1t_SYN_70.00,,jog trusk_zamkniêty_1t_SYN_80.00,,jog trusk_zamkniêty_1t_SYN_90.00,,jog trusk_zamkniêty_1t_SYN_100.00,,jog trusk_zamkniêty_1t1_SYN_30.00,,jog trusk_zamkniêty_1t1_SYN_40.00,,jog trusk_zamkniêty_1t1_SYN_50.00,,jog trusk_zamkniêty_1t1_SYN_60.00,,jog trusk_zamkniêty_1t1_SYN_70.00,,jog trusk_zamkniêty_1t1_SYN_80.00,,jog trusk_zamkniêty_1t1_SYN_90.00,,jog trusk_zamkniêty_1t1_SYN_100.00,,jog trusk_zamkniêty_1t2_SYN_30.00,,jog trusk_zamkniêty_1t2_SYN_40.00,,jog trusk_zamkniêty_1t2_SYN_50.00,,jog trusk_zamkniêty_1t2_SYN_60.00,,jog trusk_zamkniêty_1t2_SYN_70.00,,jog trusk_zamkniêty_1t2_SYN_80.00,,jog trusk_zamkniêty_1t2_SYN_90.00,,jog trusk_zamkniêty_1t2_SYN_100.00,,jog nat_zamkniêty_1t_SYN_30.00,,jog nat_zamkniêty_1t_SYN_40.00,,jog nat_zamkniêty_1t_SYN_50.00,,jog nat_zamkniêty_1t_SYN_60.00,,jog nat_zamkniêty_1t_SYN_70.00,,jog nat_zamkniêty_1t_SYN_80.00,,jog nat_zamkniêty_1t_SYN_90.00,,jog nat_zamkniêty_1t_SYN_100.00,,jog nat_zamkniêty_1t1_SYN_30.00,,jog nat_zamkniêty_1t1_SYN_40.00,,jog nat_zamkniêty_1t1_SYN_50.00,,jog nat_zamkniêty_1t1_SYN_60.00,,jog nat_zamkniêty_1t1_SYN_70.00,,jog nat_zamkniêty_1t1_SYN_80.00,,jog nat_zamkniêty_1t1_SYN_90.00,,jog nat_zamkniêty_1t1_SYN_100.00,,jog nat_zamkniêty_1t2_SYN_30.00,,jog nat_zamkniêty_1t2_SYN_40.00,,jog nat_zamkniêty_1t2_SYN_50.00,,jog nat_zamkniêty_1t2_SYN_60.00,,jog nat_zamkniêty_1t2_SYN_70.00,,jog nat_zamkniêty_1t2_SYN_80.00,,jog nat_zamkniêty_1t2_SYN_90.00,,jog nat_zamkniêty_1t2_SYN_100.00,,jog nat_otwarty_1t3_SYN_30.00,,jog nat_otwarty_1t3_SYN_40.00,,jog nat_otwarty_1t3_SYN_50.00,,jog nat_otwarty_1t3_SYN_60.00,,jog nat_otwarty_1t3_SYN_70.00,,jog nat_otwarty_1t3_SYN_80.00,,jog nat_otwarty_1t3_SYN_90.00,,jog nat_otwarty_1t3_SYN_100.00,,jog nat_otwarty_1t4_SYN_30.00,,jog nat_otwarty_1t4_SYN_40.00,,jog nat_otwarty_1t4_SYN_50.00,,jog nat_otwarty_1t4_SYN_60.00,,jog nat_otwarty_1t4_SYN_70.00,,jog nat_otwarty_1t4_SYN_80.00,,jog nat_otwarty_1t4_SYN_90.00,,jog nat_otwarty_1t4_SYN_100.00,,jog nat_otwarty_1t5_SYN_30.00,,jog nat_otwarty_1t5_SYN_40.00,,jog nat_otwarty_1t5_SYN_50.00,,jog nat_otwarty_1t5_SYN_60.00,,jog nat_otwarty_1t5_SYN_70.00,,jog nat_otwarty_1t5_SYN_80.00,,jog nat_otwarty_1t5_SYN_90.00,,jog nat_otwarty_1t5_SYN_100.00,,jog nat_zamkniêty_1t3_SYN_30.00,,jog nat_zamkniêty_1t3_SYN_40.00,,jog nat_zamkniêty_1t3_SYN_50.00,,jog nat_zamkniêty_1t3_SYN_60.00,,jog nat_zamkniêty_1t3_SYN_70.00,,jog nat_zamkniêty_1t3_SYN_80.00,,jog nat_zamkniêty_1t3_SYN_90.00,,jog nat_zamkniêty_1t3_SYN_100.00,,jog nat_zamkniêty_1t4_SYN_30.00,,jog nat_zamkniêty_1t4_SYN_40.00,,jog nat_zamkniêty_1t4_SYN_50.00,,jog nat_zamkniêty_1t4_SYN_60.00,,jog nat_zamkniêty_1t4_SYN_70.00,,jog nat_zamkniêty_1t4_SYN_80.00,,jog nat_zamkniêty_1t4_SYN_90.00,,jog nat_zamkniêty_1t4_SYN_100.00,,jog nat_zamkniêty_1t5_SYN_30.00,,jog nat_zamkniêty_1t5_SYN_40.00,,jog nat_zamkniêty_1t5_SYN_50.00,,jog nat_zamkniêty_1t5_SYN_60.00,,jog nat_zamkniêty_1t5_SYN_70.00,,jog nat_zamkniêty_1t5_SYN_80.00,,jog nat_zamkniêty_1t5_SYN_90.00,,jog nat_zamkniêty_1t5_SYN_100.00,,jog trusk_otwarty_1t3_SYN_30.00,,jog trusk_otwarty_1t3_SYN_40.00,,jog trusk_otwarty_1t3_SYN_50.00,,jog trusk_otwarty_1t3_SYN_60.00,,jog trusk_otwarty_1t3_SYN_70.00,,jog trusk_otwarty_1t3_SYN_80.00,,jog trusk_otwarty_1t3_SYN_90.00,,jog trusk_otwarty_1t3_SYN_100.00,,jog trusk_otwarty_1t4_SYN_30.00,,jog trusk_otwarty_1t4_SYN_40.00,,jog trusk_otwarty_1t4_SYN_50.00,,jog trusk_otwarty_1t4_SYN_60.00,,jog trusk_otwarty_1t4_SYN_70.00,,jog trusk_otwarty_1t4_SYN_80.00,,jog trusk_otwarty_1t4_SYN_90.00,,jog trusk_otwarty_1t4_SYN_100.00,,jog trusk_otwarty_1t5_SYN_30.00,,jog trusk_otwarty_1t5_SYN_40.00,,jog trusk_otwarty_1t5_SYN_50.00,,jog trusk_otwarty_1t5_SYN_60.00,,jog trusk_otwarty_1t5_SYN_70.00,,jog trusk_otwarty_1t5_SYN_80.00,,jog trusk_otwarty_1t5_SYN_90.00,,jog trusk_otwarty_1t5_SYN_100.00,,jog trusk_zamkniêty_1t3_SYN_30.00,,jog trusk_zamkniêty_1t3_SYN_40.00,,jog trusk_zamkniêty_1t3_SYN_50.00,,jog trusk_zamkniêty_1t3_SYN_60.00,,jog trusk_zamkniêty_1t3_SYN_70.00,,jog trusk_zamkniêty_1t3_SYN_80.00,,jog trusk_zamkniêty_1t3_SYN_90.00,,jog trusk_zamkniêty_1t3_SYN_100.00,,jog trusk_zamkniêty_1t4_SYN_30.00,,jog trusk_zamkniêty_1t4_SYN_40.00,,jog trusk_zamkniêty_1t4_SYN_50.00,,jog trusk_zamkniêty_1t4_SYN_60.00,,jog trusk_zamkniêty_1t4_SYN_70.00,,jog trusk_zamkniêty_1t4_SYN_80.00,,jog trusk_zamkniêty_1t4_SYN_90.00,,jog trusk_zamkniêty_1t4_SYN_100.00,,jog trusk_zamkniêty_1t5_SYN_30.00,,jog trusk_zamkniêty_1t5_SYN_40.00,,jog trusk_zamkniêty_1t5_SYN_50.00,,jog trusk_zamkniêty_1t5_SYN_60.00,,jog trusk_zamkniêty_1t5_SYN_70.00,,jog trusk_zamkniêty_1t5_SYN_80.00,,jog trusk_zamkniêty_1t5_SYN_90.00,,jog trusk_zamkniêty_1t5_SYN_100.00,,kefir_otwarty_1t3_SYN_30.00,,kefir_otwarty_1t3_SYN_40.00,,kefir_otwarty_1t3_SYN_50.00,,kefir_otwarty_1t3_SYN_60.00,,kefir_otwarty_1t3_SYN_70.00,,kefir_otwarty_1t3_SYN_80.00,,kefir_otwarty_1t3_SYN_90.00,,kefir_otwarty_1t3_SYN_100.00,,kefir_otwarty_1t4_SYN_30.00,,kefir_otwarty_1t4_SYN_40.00,,kefir_otwarty_1t4_SYN_50.00,,kefir_otwarty_1t4_SYN_60.00,,kefir_otwarty_1t4_SYN_70.00,,kefir_otwarty_1t4_SYN_80.00,,kefir_otwarty_1t4_SYN_90.00,,kefir_otwarty_1t4_SYN_100.00,,kefir_otwarty_1t5_SYN_30.00,,kefir_otwarty_1t5_SYN_40.00,,kefir_otwarty_1t5_SYN_50.00,,kefir_otwarty_1t5_SYN_60.00,,kefir_otwarty_1t5_SYN_70.00,,kefir_otwarty_1t5_SYN_80.00,,kefir_otwarty_1t5_SYN_90.00,,kefir_otwarty_1t5_SYN_100.00,,kefir_zamkniêty_1t3_SYN_30.00,,kefir_zamkniêty_1t3_SYN_40.00,,kefir_zamkniêty_1t3_SYN_50.00,,kefir_zamkniêty_1t3_SYN_60.00,,kefir_zamkniêty_1t3_SYN_70.00,,kefir_zamkniêty_1t3_SYN_80.00,,kefir_zamkniêty_1t3_SYN_90.00,,kefir_zamkniêty_1t3_SYN_100.00,,kefir_zamkniêty_1t4_SYN_30.00,,kefir_zamkniêty_1t4_SYN_40.00,,kefir_zamkniêty_1t4_SYN_50.00,,kefir_zamkniêty_1t4_SYN_60.00,,kefir_zamkniêty_1t4_SYN_70.00,,kefir_zamkniêty_1t4_SYN_80.00,,kefir_zamkniêty_1t4_SYN_90.00,,kefir_zamkniêty_1t4_SYN_100.00,,kefir_zamkniêty_1t5_SYN_30.00,,kefir_zamkniêty_1t5_SYN_40.00,,kefir_zamkniêty_1t5_SYN_50.00,,kefir_zamkniêty_1t5_SYN_60.00,,kefir_zamkniêty_1t5_SYN_70.00,,kefir_zamkniêty_1t5_SYN_80.00,,kefir_zamkniêty_1t5_SYN_90.00,,kefir_zamkniêty_1t5_SYN_100.00,,kefir_otwarty_3t_SYN_30.00,,kefir_otwarty_3t_SYN_40.00,,kefir_otwarty_3t_SYN_50.00,,kefir_otwarty_3t_SYN_60.00,,kefir_otwarty_3t_SYN_70.00,,kefir_otwarty_3t_SYN_80.00,,kefir_otwarty_3t_SYN_90.00,,kefir_otwarty_3t_SYN_100.00,,kefir_otwarty_3t1_SYN_30.00,,kefir_otwarty_3t1_SYN_40.00,,kefir_otwarty_3t1_SYN_50.00,,kefir_otwarty_3t1_SYN_60.00,,kefir_otwarty_3t1_SYN_70.00,,kefir_otwarty_3t1_SYN_80.00,,kefir_otwarty_3t1_SYN_90.00,,kefir_otwarty_3t1_SYN_100.00,,kefir_otwarty_3t2_SYN_30.00,,kefir_otwarty_3t2_SYN_40.00,,kefir_otwarty_3t2_SYN_50.00,,kefir_otwarty_3t2_SYN_60.00,,kefir_otwarty_3t2_SYN_70.00,,kefir_otwarty_3t2_SYN_80.00,,kefir_otwarty_3t2_SYN_90.00,,kefir_otwarty_3t2_SYN_100.00,,kefir_zamkniêty_3t_SYN_30.00,,kefir_zamkniêty_3t_SYN_40.00,,kefir_zamkniêty_3t_SYN_50.00,,kefir_zamkniêty_3t_SYN_60.00,,kefir_zamkniêty_3t_SYN_70.00,,kefir_zamkniêty_3t_SYN_80.00,,kefir_zamkniêty_3t_SYN_90.00,,kefir_zamkniêty_3t_SYN_100.00,,kefir_zamkniêty_3t1_SYN_30.00,,kefir_zamkniêty_3t1_SYN_40.00,,kefir_zamkniêty_3t1_SYN_50.00,,kefir_zamkniêty_3t1_SYN_60.00,,kefir_zamkniêty_3t1_SYN_70.00,,kefir_zamkniêty_3t1_SYN_80.00,,kefir_zamkniêty_3t1_SYN_90.00,,kefir_zamkniêty_3t1_SYN_100.00,,kefir_zamkniêty_3t2_SYN_30.00,,kefir_zamkniêty_3t2_SYN_40.00,,kefir_zamkniêty_3t2_SYN_50.00,,kefir_zamkniêty_3t2_SYN_60.00,,kefir_zamkniêty_3t2_SYN_70.00,,kefir_zamkniêty_3t2_SYN_80.00,,kefir_zamkniêty_3t2_SYN_90.00,,kefir_zamkniêty_3t2_SYN_100.00,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,5.512058735,240,4.735260963,240,9.777158737,240,25.06152916,240,47.0084877,240,70.32077789,240,88.70727539,240,90.17945862,240,3.450063467,240,3.120312691,240,7.507783413,240,21.32063293,240,42.3298912,240,64.37670135,240,80.35228729,240,81.96376038,240,4.137203693,240,3.864285231,240,8.236110687,240,24.06855392,240,44.74282837,240,67.04354095,240,83.23937988,240,88.9723587,240,6.845407486,240,6.271248341,240,14.17454529,240,42.60252762,240,93.81459045,240,143.8121033,240,177.9031067,240,179.2223663,240,6.033206463,240,5.138982296,240,11.82180977,240,37.70351028,240,85.6832428,240,132.9501495,240,161.0049286,240,162.2549744,240,6.671828747,240,5.829599857,240,13.20650005,240,40.15435791,240,90.7120285,240,140.4005737,240,174.7863159,240,176.1745911,240,6.137686729,240,5.308645248,240,13.24420547,240,43.97629929,240,100.6926117,240,152.0905151,240,189.1185455,240,186.1268311,240,4.660894871,240,4.144589424,240,11.05021858,240,38.38718033,240,88.36990356,240,137.2490845,240,168.9799652,240,166.0983734,240,5.956443787,240,5.550889492,240,13.41449261,240,41.60338211,240,93.35805511,240,142.7259521,240,177.5183105,240,175.1013641,240,5.221219063,240,4.639777184,240,11.91201591,240,38.64492798,240,89.93778992,240,139.6389313,240,170.1145782,240,170.4641876,240,6.433326721,240,5.810639858,240,13.17149639,240,42.61880493,240,95.35626221,240,147.5674286,240,178.6647644,240,186.2698059,240,4.705173492,240,4.422457695,240,11.29028416,240,38.85748672,240,89.94940186,240,135.353363,240,173.7998962,240,170.753479,240,4.470070362,240,3.693885326,240,8.587725639,240,24.12450218,240,47.76991272,240,71.19586945,240,88.99269104,240,91.6182251,240,4.392930984,240,4.303048134,240,9.365610123,240,26.24653435,240,50.67402267,240,74.60428619,240,94.91307068,240,98.0019989,240,4.027067661,240,3.665130377,240,8.188212395,240,23.33997154,240,45.93688965,240,68.53166199,240,87.06091309,240,87.16703796,240,3.808298588,240,3.658632517,240,7.775896072,240,22.1006813,240,41.73743439,240,61.92959976,240,77.88375854,240,80.33049774,240,4.572778225,240,4.31591177,240,9.356034279,240,24.93602371,240,46.03281784,240,69.76300049,240,86.3864975,240,90.89909363,240,3.373795986,240,3.238851547,240,7.574874878,240,21.39019012,240,42.5936203,240,64.15717316,240,79.76516724,240,81.60228729,240,7.930081844,240,6.902843475,240,14.23296928,240,42.78860855,240,96.67462921,240,146.9602356,240,180.8873444,240,179.6599731,240,5.810138702,240,5.550087929,240,12.20340824,240,37.84546661,240,87.18334961,240,138.3196869,240,171.4859924,240,172.5598602,240,7.526115894,240,6.288703442,240,13.73362923,240,41.40972519,240,93.49625397,240,145.2734375,240,179.7691193,240,179.5154724,240,7.940864086,240,7.126414776,240,13.78592968,240,39.21274567,240,87.37204742,240,135.6277161,240,167.6769562,240,165.5070801,240,9.883355141,240,8.493618011,240,15.84045982,240,41.58669662,240,93.69705963,240,142.5979767,240,175.1229248,240,177.6807861,240,6.722775936,240,6.397444725,240,12.8334589,240,38.1452446,240,86.144104,240,133.6889801,240,166.027771,240,171.0967407,240,5.0540061,240,4.750377655,240,11.35012436,240,37.59735107,240,84.61768341,240,133.2174377,240,163.2946472,240,160.7005615,240,7.257105827,240,6.333768368,240,13.91508293,240,42.71533203,240,94.83692932,240,142.0135345,240,174.0576172,240,179.748291,240,5.467738152,240,5.046206951,240,11.48479748,240,37.51775742,240,87.34370422,240,136.3987274,240,165.0902252,240,164.3582001,240,5.662516117,240,5.189116955,240,11.5689764,240,35.95428848,240,85.28066254,240,130.9235687,240,161.4208527,240,158.2299805,240,6.80974102,240,6.004539013,240,13.13927841,240,39.9464798,240,91.41261292,240,139.6690521,240,171.1701813,240,170.3997498,240,5.684380531,240,5.446580887,240,11.5912466,240,36.15957642,240,84.19903564,240,133.5387421,240,160.8627319,240,163.0815582,
